price,date
$403.58 ,20210509-1103
$461.24 ,20210509-1103
"$1,696.95 ",20210509-1103
$393.07 ,20210508-1228
$425.06 ,20210508-1228
$449.22 ,20210508-1228
"$1,602.97 ",20210508-1228
$389.71 ,20210509-1427
$419.88 ,20210509-1427
$469.39 ,20210509-1427
"$1,734.75 ",20210509-1427
$390.71 ,20210509-1429
$420.95 ,20210509-1429
$470.68 ,20210509-1429
"$1,739.58 ",20210509-1429
$388.72 ,20210509-1446
$418.62 ,20210509-1446
$469.12 ,20210509-1446
"$1,734.48 ",20210509-1446
$370.75 ,20210509-2342
$401.19 ,20210509-2342
$423.71 ,20210509-2342
"$1,485.41 ",20210509-2342
$375.56 ,20210508-0040
$406.38 ,20210508-0040
$429.21 ,20210508-0040
"$1,506.71 ",20210508-0040
$400.79 ,20210508-1259
$433.40 ,20210508-1259
$458.04 ,20210508-1259
"$1,635.59 ",20210508-1259
