price,date
$284.37 ,20210509-1429
$286.26 ,20210509-1429
$290.98 ,20210509-1429
$291.00 ,20210509-1429
$291.04 ,20210509-1429
$291.29 ,20210509-1429
$293.47 ,20210509-1429
$294.69 ,20210509-1429
$296.75 ,20210509-1429
$297.08 ,20210509-1429
$297.32 ,20210509-1429
$297.95 ,20210509-1429
$307.78 ,20210509-1429
$325.96 ,20210509-1429
$333.79 ,20210509-1429
$333.79 ,20210509-1429
$334.03 ,20210509-1429
$338.44 ,20210509-1429
$338.44 ,20210509-1429
$428.32 ,20210509-1429
$454.55 ,20210509-1429
$457.36 ,20210509-1429
$536.63 ,20210509-1429
$547.04 ,20210509-1429
$283.59 ,20210509-1427
$285.50 ,20210509-1427
$290.23 ,20210509-1427
$290.24 ,20210509-1427
$290.28 ,20210509-1427
$290.52 ,20210509-1427
$292.71 ,20210509-1427
$293.91 ,20210509-1427
$295.99 ,20210509-1427
$296.27 ,20210509-1427
$296.52 ,20210509-1427
$297.19 ,20210509-1427
$306.96 ,20210509-1427
$325.07 ,20210509-1427
$332.88 ,20210509-1427
$332.88 ,20210509-1427
$333.11 ,20210509-1427
$337.50 ,20210509-1427
$337.50 ,20210509-1427
$427.15 ,20210509-1427
$453.27 ,20210509-1427
$456.24 ,20210509-1427
$535.34 ,20210509-1427
$545.53 ,20210509-1427
$306.48 ,20210508-1259
$318.91 ,20210508-1259
$318.92 ,20210508-1259
$318.96 ,20210508-1259
$323.08 ,20210508-1259
$323.28 ,20210508-1259
$323.36 ,20210508-1259
$323.43 ,20210508-1259
$325.37 ,20210508-1259
$333.11 ,20210508-1259
$333.74 ,20210508-1259
$334.62 ,20210508-1259
$334.64 ,20210508-1259
$337.81 ,20210508-1259
$342.72 ,20210508-1259
$347.89 ,20210508-1259
$411.24 ,20210508-1259
$415.83 ,20210508-1259
$456.96 ,20210508-1259
$520.30 ,20210508-1259
$570.75 ,20210508-1259
$606.63 ,20210508-1259
$613.08 ,20210508-1259
$628.31 ,20210508-1259
$302.59 ,20210508-1229
$314.10 ,20210508-1229
$314.11 ,20210508-1229
