price,date,min,max,median
$247.59 ,20210509-1427,,,
$250.28 ,20210509-1427,,,
$255.83 ,20210509-1427,,,
$257.19 ,20210509-1427,,,
$269.51 ,20210509-1427,,,
$269.90 ,20210509-1427,,,
$270.66 ,20210509-1427,,,
$271.62 ,20210509-1427,,,
$273.29 ,20210509-1427,,,
$273.81 ,20210509-1427,,,
$273.81 ,20210509-1427,,,
$273.81 ,20210509-1427,,,
$277.27 ,20210509-1427,,,
$277.28 ,20210509-1427,,,
$278.58 ,20210509-1427,,,
$281.18 ,20210509-1427,,,
$281.55 ,20210509-1427,,,
$281.55 ,20210509-1427,,,
$281.64 ,20210509-1427,,,
$283.22 ,20210509-1427,,,
$293.37 ,20210509-1427,,,
$293.37 ,20210509-1427,,,
$293.55 ,20210509-1427,,,
$293.60 ,20210509-1427,,,
$248.14 ,20210509-1429,,,
$250.95 ,20210509-1429,,,
$256.44 ,20210509-1429,,,
$257.84 ,20210509-1429,,,
$270.25 ,20210509-1429,,,
$270.64 ,20210509-1429,,,
$271.34 ,20210509-1429,,,
$272.30 ,20210509-1429,,,
$274.03 ,20210509-1429,,,
$274.56 ,20210509-1429,,,
$274.56 ,20210509-1429,,,
$274.56 ,20210509-1429,,,
$278.03 ,20210509-1429,,,
$278.04 ,20210509-1429,,,
$279.35 ,20210509-1429,,,
$281.95 ,20210509-1429,,,
$282.32 ,20210509-1429,,,
$282.32 ,20210509-1429,,,
$282.41 ,20210509-1429,,,
$284.01 ,20210509-1429,,,
$294.18 ,20210509-1429,,,
$294.18 ,20210509-1429,,,
$294.29 ,20210509-1429,,,
$294.34 ,20210509-1429,,,
$245.96 ,20210509-1446,,,
$249.92 ,20210509-1446,,,
$251.75 ,20210509-1446,,,
$254.72 ,20210509-1446,,,
$269.35 ,20210509-1446,,,
$269.75 ,20210509-1446,,,
$269.76 ,20210509-1446,,,
$270.72 ,20210509-1446,,,
$273.05 ,20210509-1446,,,
$273.66 ,20210509-1446,,,
$273.66 ,20210509-1446,,,
$273.66 ,20210509-1446,,,
$277.04 ,20210509-1446,,,
$277.05 ,20210509-1446,,,
$278.52 ,20210509-1446,,,
$281.01 ,20210509-1446,,,
$281.34 ,20210509-1446,,,
$281.34 ,20210509-1446,,,
$281.47 ,20210509-1446,,,
$283.21 ,20210509-1446,,,
$293.20 ,20210509-1446,,,
$293.20 ,20210509-1446,,,
$293.20 ,20210509-1446,,,
$293.20 ,20210509-1446,,,
$242.42 ,20210509-1103,,,
$249.15 ,20210509-1103,,,
$249.74 ,20210509-1103,,,
$250.53 ,20210509-1103,,,
$250.66 ,20210509-1103,,,
$251.20 ,20210509-1103,,,
$259.05 ,20210509-1103,,,
$261.53 ,20210509-1103,,,
$264.65 ,20210509-1103,,,
$264.83 ,20210509-1103,,,
$265.21 ,20210509-1103,,,
$269.06 ,20210509-1103,,,
$269.06 ,20210509-1103,,,
$272.65 ,20210509-1103,,,
$273.27 ,20210509-1103,,,
$273.28 ,20210509-1103,,,
$276.37 ,20210509-1103,,,
$276.67 ,20210509-1103,,,
$276.74 ,20210509-1103,,,
$280.59 ,20210509-1103,,,
$288.27 ,20210509-1103,,,
$289.37 ,20210509-1103,,,
$290.20 ,20210509-1103,,,
$296.60 ,20210509-1103,,,
$271.92 ,20210508-0040,,,
$274.60 ,20210508-0040,,,
$275.05 ,20210508-0040,,,
$275.05 ,20210508-0040,,,
$275.41 ,20210508-0040,,,
$275.41 ,20210508-0040,,,
$275.41 ,20210508-0040,,,
$275.46 ,20210508-0040,,,
$275.88 ,20210508-0040,,,
$275.90 ,20210508-0040,,,
$275.92 ,20210508-0040,,,
$280.26 ,20210508-0040,,,
$282.45 ,20210508-0040,,,
$283.42 ,20210508-0040,,,
$283.68 ,20210508-0040,,,
$284.97 ,20210508-0040,,,
$286.14 ,20210508-0040,,,
$286.15 ,20210508-0040,,,
$292.83 ,20210508-0040,,,
