price,date,min,max,median
$403.58 ,20210509-1103,,,
$461.24 ,20210509-1103,,,
"$1,696.95 ",20210509-1103,,,
$393.07 ,20210508-1228,,,
$425.06 ,20210508-1228,,,
$449.22 ,20210508-1228,,,
"$1,602.97 ",20210508-1228,,,
$389.71 ,20210509-1427,,,
$419.88 ,20210509-1427,,,
$469.39 ,20210509-1427,,,
"$1,734.75 ",20210509-1427,,,
$390.71 ,20210509-1429,,,
$420.95 ,20210509-1429,,,
$470.68 ,20210509-1429,,,
"$1,739.58 ",20210509-1429,,,
$388.72 ,20210509-1446,,,
$418.62 ,20210509-1446,,,
$469.12 ,20210509-1446,,,
"$1,734.48 ",20210509-1446,,,
$370.75 ,20210509-2342,,,
$401.19 ,20210509-2342,,,
$423.71 ,20210509-2342,,,
"$1,485.41 ",20210509-2342,,,
$375.56 ,20210508-0040,,,
$406.38 ,20210508-0040,,,
$429.21 ,20210508-0040,,,
"$1,506.71 ",20210508-0040,,,
$400.79 ,20210508-1259,,,
$433.40 ,20210508-1259,,,
$458.04 ,20210508-1259,,,
"$1,635.59 ",20210508-1259,,,
$384.08,20210509-1535,,,
$413.12,20210509-1535,,,
$465.94,20210509-1535,,,
$1441.09,20210509-1535,,,
$383.13,20210509-1605,,,
$388.10,20210509-1605,,,
$411.78,20210509-1605,,,
$466.23,20210509-1605,,,
$1443.02,20210509-1605,,,
$382.66,20210509-1639,,,
$387.64,20210509-1639,,,
$410.92,20210509-1639,,,
$467.35,20210509-1639,,,
$1447.66,20210509-1639,,,
$385.44,20210509-1709,,,
$390.47,20210509-1709,,,
$413.58,20210509-1709,,,
$472.24,20210509-1709,,,
$1463.87,20210509-1709,,,
$383.50,20210509-1730,,,
$388.52,20210509-1730,,,
$411.28,20210509-1730,,,
$470.96,20210509-1730,,,
$1460.63,20210509-1730,,,
$381.29,20210509-1802,,,
$386.29,20210509-1802,,,
$408.57,20210509-1802,,,
$469.81,20210509-1802,,,
$1458.16,20210509-1802,,,
$378.99,20210509-1832,,,
$383.98,20210509-1832,,,
$405.78,20210509-1832,,,
$468.48,20210509-1832,,,
$1455.06,20210509-1832,,,
$376.48,20210509-1902,,,
$381.45,20210509-1902,,,
$402.78,20210509-1902,,,
$466.88,20210509-1902,,,
$1451.13,20210509-1902,,,
$375.42,20210509-1932,,,
$380.39,20210509-1932,,,
$401.32,20210509-1932,,,
$467.07,20210509-1932,,,
$1452.76,20210509-1932,,,
$377.76,20210509-2002,,,
$382.78,20210509-2002,,,
$403.50,20210509-2002,,,
$471.52,20210509-2002,,,
$1467.63,20210509-2002,,,
$374.02,20210509-2032,,,
$379.01,20210509-2032,,,
$399.19,20210509-2032,,,
$468.38,20210509-2032,,,
$1458.88,20210509-2032,,,
$374.65,20210509-2102,,,
$379.66,20210509-2102,,,
$399.53,20210509-2102,,,
$470.69,20210509-2102,,,
$1467.12,20210509-2102,,,
$372.62,20210509-2132,,,
$377.62,20210509-2132,,,
$397.04,20210509-2132,,,
$469.68,20210509-2132,,,
$1465.01,20210509-2132,,,
$374.53,20210509-2202,,,
$379.58,20210509-2202,,,
$398.75,20210509-2202,,,
$473.65,20210509-2202,,,
$1478.44,20210509-2202,,,
$373.61,20210509-2232,,,
$378.66,20210509-2232,,,
$397.43,20210509-2232,,,
$474.04,20210509-2232,,,
$1480.71,20210509-2232,,,
$375.15,20210509-2302,,,
$380.24,20210509-2302,,,
$398.73,20210509-2302,,,
$477.57,20210509-2302,,,
$1492.81,20210509-2302,,,
$377.66,20210509-2332,,,
$382.80,20210509-2332,,,
$401.06,20210509-2332,,,
$482.37,20210509-2332,,,
$1508.85,20210509-2332,,,
$380.65,20210510-0002,,,
$385.84,20210510-0002,,,
$403.89,20210510-0002,,,
$487.80,20210510-0002,,,
$1526.94,20210510-0002,,,
$378.67,20210510-0032,,,
$383.86,20210510-0032,,,
$401.45,20210510-0032,,,
$486.90,20210510-0032,,,
$1525.18,20210510-0032,,,
$380.76,20210510-0102,,,
